"AREA","PERIMETER","MAJOR_AXIS","MINOR_AXIS","ECCENTRICITY","EQDIASQ","SOLIDITY","CONVEX_AREA","ASPECT_RATIO","ROUNDNESS","CLASS"
7443,342.891,137.2685,70.2369,0.8592,97.3485,0.9655,7709,1.9544,0.7955,1
6868,329.831,138.0586,64.4722,0.8843,93.5126,0.9807,7003,2.1414,0.7933,1
6832,319.784,126.0155,70.3383,0.8297,93.2672,0.9759,7001,1.7916,0.8395,1
6691,326.821,132.8363,64.9961,0.8721,92.2998,0.9711,6890,2.0438,0.7872,1
6504,317.362,132.1311,63.4346,0.8772,91.0008,0.9764,6661,2.083,0.8115,1
7424,331.099,130.8711,73.1274,0.8293,97.2241,0.9715,7642,1.7896,0.851,1
7399,341.409,138.5944,68.8309,0.868,97.0603,0.9687,7638,2.0136,0.7977,1
5332,270.396,101.1602,67.9984,0.7404,82.3949,0.9814,5433,1.4877,0.9164,1
7821,350.244,140.1947,72.4707,0.856,99.7898,0.9629,8122,1.9345,0.8012,1
7486,342.451,142.5489,67.3809,0.8812,97.6293,0.9778,7656,2.1156,0.8022,1
7673,347.541,142.5499,69.4548,0.8733,98.8411,0.9804,7826,2.0524,0.7983,1
7344,339.929,133.6407,71.4191,0.8452,96.6989,0.9549,7691,1.8712,0.7987,1
7922,346.323,138.4373,73.9093,0.8456,100.4321,0.9771,8108,1.8731,0.83,1
6143,313.317,125.4191,63.7412,0.8612,88.4393,0.9555,6429,1.9676,0.7864,1
7692,337.836,138.6786,71.0854,0.8586,98.9634,0.9844,7814,1.9509,0.8469,1
7333,342.024,145.1086,64.8192,0.8947,96.6264,0.985,7445,2.2387,0.7877,1
6978,322.654,132.3052,67.4716,0.8602,94.2585,0.9832,7097,1.9609,0.8423,1
5746,291.99,118.5008,62.625,0.8489,85.5338,0.988,5816,1.8922,0.8469,1
7255,341.552,141.0694,66.5535,0.8817,96.1111,0.977,7426,2.1196,0.7815,1
5288,292.947,123.7527,54.8515,0.8964,82.0542,0.9787,5403,2.2561,0.7743,1
7304,333.429,139.2876,67.0843,0.8764,96.4352,0.986,7408,2.0763,0.8256,1
8294,358.116,144.6129,73.718,0.8603,102.7631,0.9767,8492,1.9617,0.8127,1
6095,300.885,120.5185,65.0399,0.8419,88.0931,0.9807,6215,1.853,0.846,1
7203,323.332,129.925,70.8029,0.8385,95.7661,0.9823,7333,1.835,0.8658,1
7764,354.732,144.5287,69.1575,0.8781,99.4255,0.9764,7952,2.0898,0.7753,1
8301,352.84,139.9883,76.3043,0.8384,102.8064,0.978,8488,1.8346,0.8379,1
6706,317.799,124.1668,69.8159,0.827,92.4032,0.9747,6880,1.7785,0.8344,1
7808,346.306,143.6895,69.8972,0.8737,99.7068,0.9844,7932,2.0557,0.8181,1
8583,365.989,145.0047,76.2019,0.8508,104.5381,0.9669,8877,1.9029,0.8052,1
7406,337.127,138.243,69.0358,0.8664,97.1062,0.9824,7539,2.0025,0.8189,1
7799,344.66,139.838,71.9974,0.8573,99.6494,0.9842,7924,1.9423,0.825,1
6390,320.496,131.0373,63.3054,0.8756,90.1998,0.9704,6585,2.0699,0.7817,1
8211,357.144,139.1774,76.7742,0.8341,102.2476,0.9632,8525,1.8128,0.8089,1
6238,320.503,134.9171,59.5009,0.8975,89.1205,0.9785,6375,2.2675,0.7631,1
8026,352.312,140.1079,74.0977,0.8487,101.0892,0.9639,8327,1.8909,0.8126,1
7473,331.241,133.352,71.9168,0.8421,97.5444,0.9856,7582,1.8543,0.8559,1
6947,318.287,126.0744,70.9644,0.8265,94.0489,0.9825,7071,1.7766,0.8617,1
7545,346.364,141.2061,68.6054,0.874,98.0132,0.9743,7744,2.0582,0.7903,1
8052,346.925,141.1275,73.4858,0.8537,101.2528,0.9845,8179,1.9205,0.8407,1
7553,341.462,137.0384,71.3181,0.8539,98.0652,0.9716,7774,1.9215,0.814,1
6757,320.287,130.6824,66.5291,0.8607,92.7539,0.9824,6878,1.9643,0.8277,1
6864,323.612,126.427,70.7424,0.8288,93.4854,0.9736,7050,1.7871,0.8236,1
8013,352.914,143.0904,72.0903,0.8638,101.0073,0.9771,8201,1.9849,0.8085,1
7829,348.696,138.3587,72.9933,0.8495,99.8408,0.9649,8114,1.8955,0.8091,1
7732,343.753,142.8249,69.4729,0.8737,99.2204,0.9853,7847,2.0558,0.8223,1
6617,329.476,135.647,62.7767,0.8865,91.7879,0.9647,6859,2.1608,0.766,1
7378,333.197,136.7478,69.0804,0.863,96.9224,0.982,7513,1.9795,0.8351,1
7367,344.854,143.6197,66.2871,0.8871,96.8502,0.9706,7590,2.1666,0.7784,1
8164,350.557,139.6411,75.3377,0.842,101.9545,0.9817,8316,1.8535,0.8348,1
8218,353.773,144.1631,73.2066,0.8615,102.2912,0.9823,8366,1.9693,0.8251,1
6231,315.573,132.3669,60.8039,0.8883,89.0705,0.985,6326,2.1769,0.7863,1
8178,362.006,146.1436,72.336,0.8689,102.0419,0.9668,8459,2.0203,0.7842,1
5814,297.37,124.018,60.2615,0.874,86.0385,0.9851,5902,2.058,0.8262,1
8267,356.47,142.8006,74.9049,0.8514,102.5957,0.9738,8489,1.9064,0.8175,1
6725,324.514,135.2203,64.008,0.8809,92.534,0.9785,6873,2.1126,0.8025,1
7438,337.763,136.0839,70.4034,0.8558,97.3158,0.9718,7654,1.9329,0.8193,1
6904,317.924,127.5191,69.7228,0.8373,93.7574,0.981,7038,1.8289,0.8583,1
6551,316.883,126.6292,66.9187,0.849,91.329,0.9734,6730,1.8923,0.8198,1
8319,358.975,144.0522,74.524,0.8558,102.9178,0.9726,8553,1.933,0.8112,1
7979,354.985,148.3322,69.0824,0.8849,100.7927,0.9752,8182,2.1472,0.7957,1
8264,368.154,155.0782,68.5506,0.897,102.577,0.9783,8447,2.2622,0.7662,1
8476,364.022,143.4216,76.5963,0.8454,103.8844,0.968,8756,1.8724,0.8038,1
6669,328.591,134.8762,63.9577,0.8804,92.1479,0.9688,6884,2.1088,0.7762,1
8562,364.003,146.8562,75.1743,0.8591,104.4101,0.9722,8807,1.9535,0.812,1
7313,329.046,133.6008,70.3442,0.8502,96.4946,0.9853,7422,1.8992,0.8488,1
7604,336.796,134.8365,72.5547,0.8429,98.3957,0.9786,7770,1.8584,0.8424,1
7765,338.5,132.5372,75.5863,0.8214,99.4319,0.9731,7980,1.7535,0.8516,1
8084,356.56,143.9023,73.0007,0.8618,101.4538,0.969,8343,1.9712,0.799,1
7227,332.246,134.8275,69.2901,0.8578,95.9255,0.9835,7348,1.9458,0.8227,1
6983,334.176,134.232,67.6343,0.8638,94.2923,0.9596,7277,1.9847,0.7858,1
7119,329.385,138.0523,66.2506,0.8773,95.2061,0.9874,7210,2.0838,0.8246,1
8237,352.046,143.1931,73.8282,0.8568,102.4093,0.9861,8353,1.9395,0.8352,1
7513,338.204,137.5935,70.4708,0.8589,97.8052,0.9747,7708,1.9525,0.8254,1
8392,359.905,147.7726,72.8951,0.8699,103.3684,0.9748,8609,2.0272,0.8141,1
8413,368.747,151.7111,71.7038,0.8813,103.4977,0.9732,8645,2.1158,0.7775,1
7022,317.732,123.8269,72.6856,0.8096,94.5552,0.9805,7162,1.7036,0.8741,1
8244,352.863,143.9982,73.271,0.8609,102.4529,0.9829,8387,1.9653,0.832,1
7434,335.911,136.7146,69.9431,0.8592,97.2896,0.9819,7571,1.9547,0.8279,1
7115,331.555,137.2749,66.6507,0.8742,95.1793,0.9846,7226,2.0596,0.8133,1
7797,334.115,127.1939,78.8623,0.7846,99.6366,0.9811,7947,1.6129,0.8777,1
8365,360.109,148.585,72.1882,0.874,103.202,0.981,8527,2.0583,0.8106,1
6504,331.387,138.875,60.7773,0.8992,91.0008,0.968,6719,2.285,0.7443,1
7339,333.198,133.1722,71.4339,0.844,96.6659,0.9814,7478,1.8643,0.8307,1
8744,365.807,144.3556,78.5991,0.8388,105.514,0.9709,9006,1.8366,0.8211,1
8247,358.777,147.5417,71.9397,0.8731,102.4715,0.9763,8447,2.0509,0.8051,1
6965,336.224,139.9959,64.0122,0.8893,94.1707,0.974,7151,2.187,0.7742,1
9035,372.432,154.7701,74.5995,0.8762,107.2554,0.981,9210,2.0747,0.8185,1
7920,352.387,141.6638,72.4049,0.8595,100.4194,0.9718,8150,1.9566,0.8015,1
8066,359.053,143.4492,72.859,0.8614,101.3408,0.9569,8429,1.9689,0.7862,1
7571,340.235,135.064,72.3459,0.8444,98.182,0.9782,7740,1.8669,0.8219,1
7991,345.458,137.5235,75.0153,0.8381,100.8685,0.9815,8142,1.8333,0.8414,1
7221,339.905,141.1694,66.2804,0.8829,95.8857,0.9819,7354,2.1299,0.7854,1
7088,333.685,134.5285,67.9605,0.863,94.9985,0.9708,7301,1.9795,0.7999,1
7082,320.941,123.4759,74.481,0.7976,94.9583,0.9782,7240,1.6578,0.864,1
8587,368.862,150.262,73.815,0.871,104.5625,0.9746,8811,2.0357,0.7931,1
7063,330.253,131.8851,69.4037,0.8503,94.8309,0.9739,7252,1.9003,0.8138,1
7787,345.827,142.1019,70.2079,0.8694,99.5727,0.9813,7935,2.024,0.8182,1
6873,325.576,134.7028,65.6871,0.873,93.5466,0.9835,6988,2.0507,0.8148,1
7721,361.565,154.7148,64.4054,0.9092,99.1498,0.9771,7902,2.4022,0.7422,1
7853,350.287,140.7902,72.1547,0.8587,99.9938,0.9714,8084,1.9512,0.8043,1
7360,332.729,136.5378,69.1258,0.8624,96.8041,0.9865,7461,1.9752,0.8354,1
8385,359.305,144.8882,74.4155,0.858,103.3253,0.9738,8611,1.947,0.8162,1
7479,335.934,130.8702,73.965,0.825,97.5836,0.9769,7656,1.7694,0.8328,1
8111,360.975,150.8292,68.82,0.8898,101.6231,0.979,8285,2.1916,0.7822,1
6750,315.203,125.4433,69.6596,0.8316,92.7058,0.9752,6922,1.8008,0.8538,1
7694,348.044,143.5811,68.3804,0.8793,98.9763,0.9808,7845,2.0997,0.7982,1
6928,326.871,127.8827,70.3835,0.8349,93.9202,0.9646,7182,1.8169,0.8148,1
7639,327.402,126.2157,77.9604,0.7864,98.6219,0.9797,7797,1.619,0.8955,1
6598,317.799,131.8918,63.8997,0.8748,91.6561,0.9832,6711,2.064,0.821,1
7450,337.517,133.9785,71.9513,0.8436,97.3942,0.9762,7632,1.8621,0.8218,1
7707,343.08,140.4203,70.8125,0.8635,99.0599,0.9809,7857,1.983,0.8228,1
6827,318.364,128.0697,68.4257,0.8453,93.2331,0.9861,6923,1.8717,0.8464,1
7195,333.241,131.1642,70.8449,0.8416,95.7129,0.9741,7386,1.8514,0.8142,1
7573,337.17,132.2534,74.3363,0.8271,98.1949,0.9751,7766,1.7791,0.8371,1
6940,334.903,142.6169,62.4963,0.8989,94.0015,0.9816,7070,2.282,0.7776,1
7940,349.724,139.6347,73.3582,0.8509,100.5461,0.9744,8149,1.9035,0.8158,1
7089,330.535,133.6068,68.5141,0.8585,95.0052,0.9751,7270,1.9501,0.8154,1
7295,334.388,131.209,71.6599,0.8377,96.3757,0.9687,7531,1.831,0.8198,1
7323,333.15,133.2595,70.5694,0.8483,96.5605,0.9807,7467,1.8883,0.8291,1
6360,320.297,135.8519,60.3962,0.8957,89.9878,0.9788,6498,2.2493,0.779,1
5491,298.251,124.4121,57.7175,0.8859,83.6143,0.9781,5614,2.1555,0.7757,1
6988,331.783,140.7274,63.8235,0.8912,94.326,0.9833,7107,2.2049,0.7977,1
8340,366.436,149.1075,72.3317,0.8745,103.0476,0.9652,8641,2.0614,0.7805,1
7837,351.577,143.7259,70.3987,0.8718,99.8918,0.9757,8032,2.0416,0.7967,1
7541,338.738,141.1994,68.3091,0.8752,97.9872,0.9845,7660,2.0671,0.8259,1
7434,338.152,138.0145,69.0682,0.8658,97.2896,0.9764,7614,1.9982,0.817,1
6481,316.905,130.7582,63.8223,0.8728,90.8398,0.98,6613,2.0488,0.8109,1
7190,337.349,138.3959,67.0377,0.8749,95.6796,0.9756,7370,2.0645,0.7939,1
8545,370.437,148.8862,74.1888,0.867,104.3064,0.9715,8796,2.0069,0.7825,1
7268,334.126,136.1716,69.0748,0.8618,96.1972,0.9818,7403,1.9714,0.8181,1
7998,352.78,142.3996,72.2382,0.8618,100.9127,0.9737,8214,1.9712,0.8076,1
7545,346.479,144.3191,67.2033,0.885,98.0132,0.98,7699,2.1475,0.7898,1
7604,330.486,126.1015,77.4147,0.7894,98.3957,0.9765,7787,1.6289,0.8749,1
6175,306.034,126.3843,62.7436,0.8681,88.6693,0.9805,6298,2.0143,0.8285,1
8184,350.15,140.4414,74.5425,0.8475,102.0793,0.9798,8353,1.884,0.8388,1
8036,342.629,136.5863,75.469,0.8335,101.1521,0.982,8183,1.8098,0.8602,1
7768,347.844,144.1193,69.0126,0.8779,99.4511,0.9801,7926,2.0883,0.8068,1
9120,375.863,152.4529,77.1742,0.8624,107.7587,0.9778,9327,1.9754,0.8112,1
7442,335.985,135.7768,70.2497,0.8557,97.3419,0.9765,7621,1.9328,0.8284,1
7824,345.77,139.894,71.8626,0.858,99.8089,0.977,8008,1.9467,0.8224,1
6011,312.761,131.8257,58.5994,0.8958,87.484,0.9796,6136,2.2496,0.7722,1
7845,340.493,136.9187,73.4401,0.844,99.9428,0.9787,8016,1.8644,0.8503,1
8157,353.781,141.1954,75.0091,0.8472,101.9108,0.9795,8328,1.8824,0.819,1
8030,350.642,137.8274,75.7129,0.8356,101.1144,0.9742,8243,1.8204,0.8207,1
5934,291.126,107.9841,71.9538,0.7457,86.9218,0.9821,6042,1.5007,0.8798,1
7462,343.576,138.0283,70.1251,0.8613,97.4726,0.9588,7783,1.9683,0.7944,1
6872,333.974,140.1845,63.2881,0.8923,93.5398,0.973,7063,2.215,0.7742,1
6402,310.905,127.4118,64.4311,0.8627,90.2844,0.983,6513,1.9775,0.8323,1
8069,357.478,135.5521,77.1494,0.8222,101.3596,0.9729,8294,1.757,0.7935,1
8387,359.45,146.7119,73.1608,0.8668,103.3376,0.9802,8556,2.0053,0.8157,1
8355,357.833,148.7709,71.8343,0.8757,103.1403,0.9833,8497,2.071,0.82,1
7701,344.61,137.47,72.5815,0.8493,99.0213,0.9743,7904,1.894,0.8149,1
6347,311.521,123.3772,66.6256,0.8417,89.8958,0.9784,6487,1.8518,0.8219,1
7123,334.834,141.4754,64.6974,0.8893,95.2328,0.9826,7249,2.1867,0.7984,1
7884,348.564,140.4634,72.2886,0.8574,100.1909,0.9582,8228,1.9431,0.8154,1
7954,349.911,143.8612,71.195,0.869,100.6347,0.9827,8094,2.0207,0.8164,1
6925,334.628,140.1902,63.4257,0.8918,93.8999,0.9729,7118,2.2103,0.7772,1
7407,341.021,137.8498,69.1232,0.8652,97.1127,0.9764,7586,1.9943,0.8004,1
8143,358.95,146.1538,71.8819,0.8707,101.8233,0.9698,8397,2.0333,0.7942,1
9353,380.825,157.9453,75.9197,0.8769,109.1266,0.9847,9498,2.0804,0.8104,1
7710,353.673,149.8421,66.5245,0.896,99.0791,0.9856,7823,2.2524,0.7746,1
8582,363.329,144.9924,76.4373,0.8498,104.532,0.9717,8832,1.8969,0.817,1
8083,354.037,142.4408,73.0661,0.8584,101.4475,0.9779,8266,1.9495,0.8104,1
7893,348.269,137.9101,74.143,0.8432,100.2481,0.9683,8151,1.8601,0.8178,1
7178,339.806,141.2683,65.1885,0.8872,95.5998,0.9791,7331,2.1671,0.7812,1
7244,337.229,139.003,67.5521,0.874,96.0383,0.9856,7350,2.0577,0.8005,1
9063,378.595,151.7714,77.5791,0.8595,107.4215,0.967,9372,1.9563,0.7946,1
8261,353.08,136.5397,78.1166,0.8202,102.5584,0.9704,8513,1.7479,0.8327,1
8430,363.659,149.761,72.8331,0.8738,103.6022,0.9793,8608,2.0562,0.801,1
5853,299.348,122.2629,61.6857,0.8634,86.3265,0.9724,6019,1.982,0.8208,1
7653,340.434,135.0819,72.9469,0.8417,98.7122,0.9717,7876,1.8518,0.8298,1
7234,340.459,139.6475,66.981,0.8775,95.9719,0.9755,7416,2.0849,0.7843,1
7898,347.546,139.2075,73.1947,0.8506,100.2798,0.969,8151,1.9019,0.8217,1
8022,346.016,139.5173,74.2953,0.8464,101.064,0.9857,8138,1.8779,0.842,1
8756,364.152,143.7973,78.4998,0.8378,105.5864,0.9741,8989,1.8318,0.8298,1
7464,341.195,139.4694,68.6031,0.8707,97.4857,0.9756,7651,2.033,0.8057,1
7857,350.68,140.7588,72.3205,0.8579,100.0192,0.9724,8080,1.9463,0.8029,1
6363,300.82,119.8784,68.0536,0.8232,90.009,0.9832,6472,1.7615,0.8836,1
7514,340.212,137.315,70.4469,0.8584,97.8117,0.9803,7665,1.9492,0.8158,1
7094,328.748,128.1154,71.213,0.8313,95.0387,0.9693,7319,1.799,0.8248,1
6146,309.638,128.9185,61.5139,0.8788,88.4609,0.9819,6259,2.0958,0.8056,1
7574,347.511,142.0173,68.2888,0.8768,98.2014,0.9746,7771,2.0797,0.7881,1
6479,318.063,129.5104,64.5729,0.8668,90.8258,0.9797,6613,2.0056,0.8048,1
7081,318.468,119.8217,76.4161,0.7702,94.9516,0.9771,7247,1.568,0.8774,1
7529,342.922,144.1341,67.2376,0.8845,97.9092,0.9865,7632,2.1437,0.8046,1
8270,355.014,143.1908,74.5372,0.8538,102.6143,0.9755,8478,1.9211,0.8246,1
7851,344.643,143.0667,70.3899,0.8706,99.981,0.9827,7989,2.0325,0.8306,1
8481,366.646,148.25,74.0123,0.8665,103.9151,0.9686,8756,2.003,0.7928,1
8019,346.4,139.0774,73.9979,0.8467,101.0451,0.982,8166,1.8795,0.8398,1
7410,330.997,135.2251,70.0818,0.8552,97.1324,0.9851,7522,1.9295,0.8499,1
7433,342.893,140.335,68.3927,0.8732,97.283,0.9831,7561,2.0519,0.7944,1
8031,353.02,140.7771,73.7908,0.8516,101.1207,0.9712,8269,1.9078,0.8098,1
5599,286.619,112.6032,64.428,0.8201,84.4326,0.9751,5742,1.7477,0.8565,1
8790,365.594,147.8958,76.4203,0.8562,105.7912,0.9811,8959,1.9353,0.8264,1
5209,277.919,97.8148,70.3135,0.6952,81.439,0.9707,5366,1.3911,0.8475,1
7449,338.152,136.117,70.4463,0.8557,97.3877,0.9756,7635,1.9322,0.8186,1
7219,332.006,134.4477,69.1125,0.8578,95.8724,0.9769,7390,1.9453,0.823,1
7586,342.025,139.0776,70.3156,0.8628,98.2792,0.9688,7830,1.9779,0.8149,1
8428,360.464,146.0717,74.2228,0.8613,103.5899,0.9805,8596,1.968,0.8151,1
7059,326.134,129.0713,70.3532,0.8384,94.804,0.9731,7254,1.8346,0.834,1
7306,338.078,139.1219,67.752,0.8734,96.4484,0.9798,7457,2.0534,0.8033,1
6985,329.008,138.12,65.0832,0.882,94.3058,0.9874,7074,2.1222,0.8109,1
8303,354.759,143.109,74.5693,0.8535,102.8188,0.9746,8519,1.9191,0.829,1
8471,363.808,145.5409,75.5141,0.8549,103.8538,0.9767,8673,1.9273,0.8043,1
6157,295.013,116.7602,67.734,0.8145,88.54,0.9839,6258,1.7238,0.889,1
8192,359.38,144.1064,73.445,0.8604,102.1292,0.9711,8436,1.9621,0.7971,1
7292,324.274,127.698,73.3307,0.8187,96.3559,0.9797,7443,1.7414,0.8714,1
7103,328.062,136.135,66.8285,0.8712,95.099,0.9842,7217,2.0371,0.8294,1
7843,341.09,134.7686,74.8163,0.8318,99.9301,0.9766,8031,1.8013,0.8471,1
6439,323.367,136.7079,60.893,0.8953,90.545,0.985,6537,2.2451,0.7738,1
8224,351.89,144.2909,73.4858,0.8606,102.3285,0.9847,8352,1.9635,0.8346,1
8063,356.929,147.7509,70.2943,0.8796,101.3219,0.9762,8260,2.1019,0.7953,1
7406,332.899,135.1775,70.4034,0.8537,97.1062,0.9817,7544,1.92,0.8398,1
7865,350.705,142.3194,71.6042,0.8642,100.0701,0.9684,8122,1.9876,0.8036,1
6761,314.782,125.5258,68.9093,0.8358,92.7813,0.9814,6889,1.8216,0.8574,1
7029,325.593,134.2493,67.0405,0.8664,94.6023,0.985,7136,2.0025,0.8332,1
7049,326.416,133.5961,67.5991,0.8625,94.7368,0.9841,7163,1.9763,0.8314,1
7173,333.886,132.728,69.7108,0.851,95.5665,0.9767,7344,1.904,0.8086,1
8405,370.399,150.2862,72.1501,0.8772,103.4484,0.9644,8715,2.083,0.7699,1
8532,358.707,150.1753,72.8197,0.8746,104.2271,0.9849,8663,2.0623,0.8333,1
9409,386.5,151.0191,80.9923,0.844,109.4528,0.9562,9840,1.8646,0.7915,1
7635,339.054,132.422,74.2499,0.828,98.5961,0.9721,7854,1.7835,0.8346,1
8159,358.992,145.0619,72.7468,0.8652,101.9233,0.968,8429,1.9941,0.7956,1
7508,347.728,140.412,69.0551,0.8707,97.7726,0.9717,7727,2.0333,0.7803,1
8358,360.892,146.7685,73.0529,0.8673,103.1588,0.9805,8524,2.0091,0.8064,1
7793,346.372,142.2879,70.9445,0.8668,99.611,0.9778,7970,2.0056,0.8163,1
6947,323.86,130.4505,68.2432,0.8522,94.0489,0.9823,7072,1.9116,0.8323,1
8049,353.386,147.2862,70.0383,0.8797,101.2339,0.9828,8190,2.1029,0.8099,1
7141,329.049,129.7849,71.3977,0.8351,95.3531,0.9728,7341,1.8178,0.8288,1
8417,364.665,151.2317,71.6532,0.8806,103.5223,0.9851,8544,2.1106,0.7954,1
5861,296.438,121.7297,61.9634,0.8608,86.3855,0.9832,5961,1.9645,0.8381,1
7904,352.714,141.7617,72.3922,0.8598,100.3179,0.9635,8203,1.9582,0.7984,1
7461,334.396,136.1914,70.3757,0.8561,97.4661,0.9829,7591,1.9352,0.8385,1
7136,339.948,137.6413,67.1258,0.873,95.3197,0.9676,7375,2.0505,0.776,1
7506,327.119,125.8018,76.5652,0.7935,97.7596,0.9796,7662,1.6431,0.8815,1
9038,363.436,147.2619,78.7912,0.8448,107.2732,0.9893,9136,1.869,0.8599,1
6245,299.745,115.9491,70.0625,0.7968,89.1705,0.9863,6332,1.6549,0.8735,1
8043,352.347,143.1569,72.4302,0.8626,101.1962,0.9797,8210,1.9765,0.8141,1
5452,291.508,120.1512,58.3544,0.8741,83.3169,0.9757,5588,2.059,0.8062,1
7101,331.262,131.194,69.8881,0.8463,95.0856,0.9715,7309,1.8772,0.8132,1
7658,347.004,138.9872,71.5066,0.8575,98.7445,0.9655,7932,1.9437,0.7992,1
6625,316.293,128.8006,66.1819,0.8579,91.8434,0.9834,6737,1.9462,0.8322,1
7689,337.8,136.0473,72.6628,0.8454,98.9441,0.9868,7792,1.8723,0.8468,1
7865,353.989,144.2139,70.3926,0.8728,100.0701,0.9656,8145,2.0487,0.7887,1
7337,332.726,133.546,70.7792,0.848,96.6528,0.9746,7528,1.8868,0.8328,1
7799,347.62,136.6492,73.5203,0.8429,99.6494,0.9669,8066,1.8587,0.811,1
8466,360.654,147.7515,73.442,0.8677,103.8232,0.9835,8608,2.0118,0.8179,1
6582,319.966,126.8211,68.01,0.844,91.5449,0.9578,6872,1.8647,0.8079,1
8144,345.289,137.5801,76.018,0.8335,101.8296,0.9806,8305,1.8098,0.8584,1
7346,331.919,136.163,69.035,0.8619,96.712,0.9871,7442,1.9724,0.8379,1
